Income Statement,6/30/13,9/30/13,12/31/13,3/31/14,6/30/14,9/30/14,12/31/14,3/31/15,6/30/15,9/30/15,12/31/15,3/31/16,6/30/16,9/30/16,12/31/16,3/31/17,6/30/17,9/30/17,12/31/17,3/31/18,6/30/18,9/30/18,12/31/18,3/31/19,6/30/19,9/30/19,12/31/19,3/31/20,6/30/20,9/30/20,12/31/20,3/31/21,6/30/21,9/30/21,12/31/21
Revenues,142.67,148.82,"1,863.87",195.21,125.43,126.28,531.15,300.09,275.3,346.97,414.22,377.21,311.55,420.17,476.47,571.56,418.22,443.56,480.84,450.27,387.98,492.67,"1,248.74",539.01,540.46,857.84,930.13,760.54,831.31,841.14,860.89,839.43,813.35,858.2,903.25
Total Revenues,142.67,148.82,"1,863.87",195.21,125.43,126.28,531.15,300.09,275.3,346.97,414.22,377.21,311.55,420.17,476.47,571.56,418.22,443.56,480.84,450.27,387.98,492.67,"1,248.74",539.01,540.46,857.84,930.13,760.54,831.31,841.14,860.89,839.43,813.35,858.2,903.25
% Revenue From GTA in Fiscal Year (from quarterly filing),19.70%,22.00%,72.20%,68.90%,34.60%,40.00%,23.00%,28.00%,62.00%,63.90%,56.40%,54.50%,41.50%,38.90%,38.70%,38.20%,40.00%,37.40%,38.10%,39.70%,47.00%,41.80%,25.10%,25.70%,28.00%,23.00%,21.50%,23.00%,31.60%,29.60%,28.90%,29.20%,33.70%,31.20%,32.30%
Approx. $ Revenue From GTA in Quarter (derived from two rows above),28.11,36.02,"1,492.04",63.37,43.40,57.29,79.37,123.17,170.69,226.94,186.95,185.89,129.29,155.35,182.93,212.29,167.29,155.02,189.23,200.24,182.35,185.76,166.37,151.30,151.33,170.28,179.00,209.85,262.69,232.35,237.09,252.71,274.10,247.42,310.14
Approx. $ Revenue From Non-GTA in Quarter (derived from three rows above),114.56,112.80,371.83,131.84,82.03,68.99,451.78,176.92,104.61,120.03,227.27,191.32,182.26,264.82,293.54,359.27,250.93,288.54,291.61,250.03,205.63,306.91,"1,082.37",387.71,389.13,687.56,751.13,550.69,568.62,608.79,623.80,586.72,539.25,610.78,593.11
% Change YoY,-36.90%,-45.50%,348.30%,-34.80%,-12.10%,-15.20%,-71.50%,53.70%,119.50%,174.80%,-22.00%,25.70%,13.20%,21.10%,15.00%,51.50%,34.20%,5.60%,0.90%,-21.20%,-7.20%,11.10%,159.70%,19.70%,39.30%,74.10%,-25.50%,41.10%,53.80%,-1.90%,-7.40%,10.40%,-2.20%,2.00%,4.90%
Cost of Goods Sold,-93.84,-50.69,"-1,119.73",-150.07,-54.16,-52.02,-263.72,-424.98,-200.91,-143.52,-257.86,-188.92,-182.31,-203.08,-303.34,-314.06,-193.89,-246.27,-267.98,-189.11,-131.37,-234.88,-891.06,-258.91,-241.47,-468.25,-437.09,-395.64,-456.99,-432.51,-340.71,-265.8,-319.94,-401.4,-349.74
Gross Profit,48.83,98.14,744.14,45.14,71.27,74.26,267.43,-124.89,74.39,203.46,156.36,188.29,129.24,217.09,173.13,257.5,224.33,197.29,212.86,261.16,256.62,257.79,357.68,280.09,298.99,389.59,493.04,364.9,374.32,408.64,520.18,573.63,493.4,456.79,553.51
% Change YoY,23.90%,-14.40%,273.00%,-68.90%,46.00%,-24.30%,-64.10%,-376.70%,4.40%,174.00%,-41.50%,250.80%,73.70%,6.70%,10.70%,36.80%,73.60%,-9.10%,22.90%,1.40%,14.40%,30.70%,68.00%,7.20%,16.50%,51.10%,37.80%,30.30%,25.20%,4.90%,5.50%,57.20%,31.80%,11.80%,6.40%
% Gross Margins,34.20%,65.90%,39.90%,23.10%,56.80%,58.80%,50.30%,-41.60%,27.00%,58.60%,37.70%,49.90%,41.50%,51.70%,36.30%,45.10%,53.60%,44.50%,44.30%,58.00%,66.10%,52.30%,28.60%,52.00%,55.30%,45.40%,53.00%,48.00%,45.00%,48.60%,60.40%,68.30%,60.70%,53.20%,61.30%
Selling General & Admin Expenses,-74.46,-144.37,-105.19,-78.35,-76.2,-93.11,-150.46,-90.67,-94.6,-104.84,-108.91,-82.42,-117.88,-129.87,-148.76,-98.44,-112.82,-137.74,-145.46,-114.4,-126.04,-161.49,-231.96,-153.15,-166.65,-226.23,-221.6,-162.18,-186.95,-205.12,-238.53,-205.06,-206.3,-240.4,-255.96
R&D Expenses,-20.87,-26.52,-29.23,-28.63,-24.13,-24.53,-31.22,-35.16,-34.14,-24.41,-27.94,-33.31,-33.9,-30.01,-37.59,-36.42,-42.27,-50,-49.98,-54.13,-50.71,-60.57,-62.31,-56.59,-68.96,-76.2,-82.52,-68.72,-73.11,-74.22,-86.43,-83.56,-92.29,-101.51,-116.66
Depreciation & Amortization,-3.06,-3.37,-3.41,-3.52,-4.15,-5.13,-5.85,-5.93,-6.58,-7.35,-7.53,-7.34,-7.38,-7.49,-7.46,-8.38,-7.74,-7.63,-7.86,-9.48,-9.26,-9.75,-10.14,-11.08,-11.26,-12.02,-12.33,-12.5,-12.42,-13.69,-14.01,-15.48,-12.47,-16.18,-16
Other Operating Expenses,-98.39,-174.25,-137.84,-110.5,-104.48,-122.77,-187.52,-131.76,-135.32,-136.6,-144.39,-123.06,-159.16,-167.37,-193.81,-143.24,-162.83,-195.36,-203.31,-178.01,-186.01,-231.8,-304.41,-220.82,-246.87,-314.45,-316.45,-243.4,-272.48,-293.03,-338.97,-304.1,-311.06,-358.09,-388.61
